,Month,AveragePrice,Year,Region,TypeOrganic,TypeConventional,PriceRange
0,3,0.44,2017,CincinnatiDayton,1,0,v_cheap
1,2,0.46,2017,PhoenixTucson,0,1,v_cheap
2,3,0.48,2017,Detroit,1,0,v_cheap
3,2,0.49,2017,CincinnatiDayton,1,0,v_cheap
4,12,0.49,2015,PhoenixTucson,0,1,v_cheap
5,4,0.51,2015,PhoenixTucson,0,1,v_cheap
6,3,0.51,2017,Nashville,1,0,v_cheap
7,1,0.51,2017,Houston,0,1,v_cheap
8,2,0.51,2017,CincinnatiDayton,1,0,v_cheap
9,3,0.51,2016,PhoenixTucson,0,1,v_cheap
10,6,0.52,2015,PhoenixTucson,0,1,v_cheap
11,2,0.52,2017,WestTexNewMexico,0,1,v_cheap
12,3,0.52,2017,Columbus,1,0,v_cheap
13,2,0.53,2017,LosAngeles,0,1,v_cheap
14,6,0.53,2015,PhoenixTucson,0,1,v_cheap
15,2,0.53,2017,Houston,0,1,v_cheap
16,1,0.53,2017,Houston,0,1,v_cheap
17,4,0.53,2015,PhoenixTucson,0,1,v_cheap
18,12,0.53,2015,PhoenixTucson,0,1,v_cheap
19,2,0.54,2016,Jacksonville,0,1,v_cheap
20,2,0.54,2017,LasVegas,0,1,v_cheap
21,3,0.54,2016,PhoenixTucson,0,1,v_cheap
22,4,0.54,2016,PhoenixTucson,0,1,v_cheap
23,6,0.54,2015,PhoenixTucson,0,1,v_cheap
24,1,0.54,2017,PhoenixTucson,0,1,v_cheap
25,2,0.54,2017,PhoenixTucson,0,1,v_cheap
26,2,0.55,2016,PhoenixTucson,0,1,v_cheap
27,2,0.55,2017,Houston,0,1,v_cheap
28,5,0.55,2016,PhoenixTucson,0,1,v_cheap
29,12,0.56,2016,PhoenixTucson,0,1,v_cheap
30,2,0.56,2018,Houston,0,1,v_cheap
31,12,0.56,2015,PhoenixTucson,0,1,v_cheap
32,7,0.56,2015,PhoenixTucson,0,1,v_cheap
33,3,0.56,2018,Houston,0,1,v_cheap
34,2,0.56,2015,PhoenixTucson,0,1,v_cheap
35,4,0.56,2016,PhoenixTucson,0,1,v_cheap
36,5,0.56,2015,PhoenixTucson,0,1,v_cheap
37,3,0.56,2016,PhoenixTucson,0,1,v_cheap
38,3,0.56,2017,Louisville,1,0,v_cheap
39,2,0.56,2017,Louisville,1,0,v_cheap
40,2,0.56,2016,Tampa,0,1,v_cheap
41,4,0.57,2015,PhoenixTucson,0,1,v_cheap
42,2,0.57,2017,Detroit,1,0,v_cheap
43,3,0.57,2015,PhoenixTucson,0,1,v_cheap
44,5,0.57,2016,PhoenixTucson,0,1,v_cheap
45,1,0.57,2017,Houston,0,1,v_cheap
46,3,0.57,2017,PhoenixTucson,0,1,v_cheap
47,2,0.57,2017,Detroit,1,0,v_cheap
48,2,0.57,2017,CincinnatiDayton,1,0,v_cheap
49,2,0.57,2016,PhoenixTucson,0,1,v_cheap
50,4,0.58,2016,StLouis,1,0,v_cheap
51,5,0.58,2015,PhoenixTucson,0,1,v_cheap
52,2,0.58,2016,LosAngeles,0,1,v_cheap
53,2,0.58,2017,Houston,0,1,v_cheap
54,5,0.58,2016,NewOrleansMobile,0,1,v_cheap
55,9,0.58,2015,PhoenixTucson,0,1,v_cheap
56,5,0.58,2016,Boise,0,1,v_cheap
57,8,0.58,2016,PhoenixTucson,0,1,v_cheap
58,2,0.58,2016,Orlando,0,1,v_cheap
59,3,0.58,2018,PhoenixTucson,0,1,v_cheap
60,5,0.58,2016,PhoenixTucson,0,1,v_cheap
61,2,0.58,2018,Houston,0,1,v_cheap
62,2,0.58,2016,NewOrleansMobile,0,1,v_cheap
63,1,0.58,2017,PhoenixTucson,0,1,v_cheap
64,2,0.59,2018,PhoenixTucson,0,1,v_cheap
65,1,0.59,2016,PhoenixTucson,0,1,v_cheap
66,2,0.59,2016,MiamiFtLauderdale,0,1,v_cheap
67,3,0.59,2018,PhoenixTucson,0,1,v_cheap
68,2,0.59,2018,PhoenixTucson,0,1,v_cheap
69,11,0.6,2015,PhoenixTucson,0,1,v_cheap
70,6,0.6,2016,PhoenixTucson,0,1,v_cheap
71,1,0.6,2017,LosAngeles,0,1,v_cheap
72,5,0.6,2015,PhoenixTucson,0,1,v_cheap
73,3,0.6,2015,PhoenixTucson,0,1,v_cheap
74,3,0.6,2017,Nashville,0,1,v_cheap
75,1,0.6,2016,Denver,0,1,v_cheap
76,5,0.6,2017,CincinnatiDayton,0,1,v_cheap
77,2,0.6,2015,PhoenixTucson,0,1,v_cheap
78,1,0.6,2017,PhoenixTucson,0,1,v_cheap
79,1,0.6,2016,Denver,0,1,v_cheap
80,11,0.6,2017,PhoenixTucson,0,1,v_cheap
81,2,0.61,2016,PhoenixTucson,0,1,v_cheap
82,5,0.61,2016,Boise,0,1,v_cheap
83,1,0.61,2015,PhoenixTucson,0,1,v_cheap
84,4,0.61,2016,PhoenixTucson,0,1,v_cheap
85,2,0.61,2016,SanDiego,0,1,v_cheap
86,3,0.61,2017,Nashville,1,0,v_cheap
87,1,0.61,2015,PhoenixTucson,0,1,v_cheap
88,2,0.61,2017,NewOrleansMobile,0,1,v_cheap
89,3,0.61,2018,PhoenixTucson,0,1,v_cheap
90,1,0.61,2016,PhoenixTucson,0,1,v_cheap
91,4,0.61,2016,PhoenixTucson,0,1,v_cheap
92,5,0.62,2016,LosAngeles,0,1,v_cheap
93,1,0.62,2017,LosAngeles,0,1,v_cheap
94,2,0.62,2017,SouthCentral,0,1,v_cheap
95,5,0.62,2016,PhoenixTucson,0,1,cheap
96,6,0.62,2015,Houston,0,1,v_cheap
97,2,0.62,2016,Southeast,0,1,v_cheap
98,6,0.62,2016,PhoenixTucson,0,1,cheap
99,11,0.62,2015,PhoenixTucson,0,1,cheap
100,3,0.62,2017,Atlanta,1,0,v_cheap
101,1,0.62,2016,PhoenixTucson,0,1,cheap
102,6,0.63,2016,Boise,0,1,v_cheap
103,5,0.63,2016,NewOrleansMobile,0,1,v_cheap
104,2,0.63,2015,PhoenixTucson,0,1,cheap
105,5,0.63,2016,Boise,0,1,v_cheap
106,2,0.63,2016,Denver,0,1,v_cheap
107,12,0.63,2016,Houston,0,1,v_cheap
108,12,0.63,2016,PhoenixTucson,0,1,cheap
109,1,0.63,2017,PhoenixTucson,0,1,cheap
110,2,0.63,2017,SanDiego,0,1,v_cheap
111,5,0.63,2016,Boise,0,1,v_cheap
112,3,0.64,2017,CincinnatiDayton,1,0,v_cheap
113,2,0.64,2017,LosAngeles,0,1,v_cheap
114,12,0.64,2016,PhoenixTucson,0,1,cheap
115,8,0.64,2016,PhoenixTucson,0,1,cheap
116,3,0.64,2016,PhoenixTucson,0,1,cheap
117,2,0.64,2017,Atlanta,1,0,v_cheap
118,12,0.64,2016,CincinnatiDayton,1,0,v_cheap
119,12,0.64,2017,PhoenixTucson,0,1,cheap
120,2,0.64,2015,PhoenixTucson,0,1,cheap
121,2,0.64,2017,CincinnatiDayton,1,0,v_cheap
122,1,0.64,2017,CincinnatiDayton,0,1,v_cheap
123,1,0.64,2017,SouthCentral,0,1,v_cheap
124,1,0.64,2016,LosAngeles,0,1,v_cheap
125,9,0.64,2016,PhoenixTucson,0,1,cheap
126,2,0.64,2018,PhoenixTucson,0,1,cheap
127,5,0.64,2016,LosAngeles,0,1,v_cheap
128,1,0.64,2016,PhoenixTucson,0,1,cheap
129,2,0.65,2016,DallasFtWorth,0,1,v_cheap
130,2,0.65,2017,DallasFtWorth,0,1,v_cheap
131,6,0.65,2015,DallasFtWorth,0,1,v_cheap
132,1,0.65,2017,SanDiego,0,1,v_cheap
133,3,0.65,2017,Louisville,1,0,v_cheap
134,2,0.65,2017,CincinnatiDayton,0,1,v_cheap
135,2,0.65,2017,CincinnatiDayton,0,1,v_cheap
136,1,0.65,2015,PhoenixTucson,0,1,cheap
137,10,0.65,2015,PhoenixTucson,0,1,cheap
138,5,0.65,2017,PhoenixTucson,0,1,cheap
139,5,0.65,2016,Houston,0,1,v_cheap
140,2,0.65,2017,WestTexNewMexico,0,1,v_cheap
141,4,0.65,2017,PhoenixTucson,0,1,cheap
142,5,0.65,2016,Boise,0,1,v_cheap
143,3,0.65,2017,PhoenixTucson,0,1,cheap
144,2,0.65,2017,PhoenixTucson,0,1,cheap
145,2,0.65,2016,LosAngeles,0,1,v_cheap
146,4,0.65,2016,DallasFtWorth,0,1,v_cheap
147,4,0.65,2016,Boise,0,1,v_cheap
148,2,0.65,2017,Detroit,0,1,v_cheap
149,2,0.65,2018,SouthCentral,0,1,v_cheap
150,1,0.65,2016,SanDiego,0,1,v_cheap
151,3,0.65,2017,Detroit,1,0,v_cheap
152,12,0.66,2015,PhoenixTucson,0,1,cheap
153,1,0.66,2016,Denver,0,1,v_cheap
154,4,0.66,2015,PhoenixTucson,0,1,cheap
155,3,0.66,2016,Denver,1,0,v_cheap
156,8,0.66,2015,PhoenixTucson,0,1,cheap
157,2,0.66,2017,Columbus,1,0,v_cheap
158,2,0.66,2017,Nashville,0,1,v_cheap
159,12,0.66,2015,LosAngeles,0,1,v_cheap
160,2,0.66,2017,West,0,1,v_cheap
161,2,0.66,2017,Nashville,1,0,v_cheap
162,2,0.67,2016,Houston,0,1,v_cheap
163,5,0.67,2015,PhoenixTucson,0,1,cheap
164,5,0.67,2015,PhoenixTucson,0,1,cheap
165,4,0.67,2017,PhoenixTucson,0,1,cheap
166,2,0.67,2017,PhoenixTucson,0,1,cheap
167,4,0.67,2016,Houston,0,1,v_cheap
168,3,0.67,2017,PhoenixTucson,0,1,cheap
169,1,0.67,2017,WestTexNewMexico,0,1,v_cheap
170,3,0.67,2015,DallasFtWorth,0,1,v_cheap
171,2,0.67,2017,Houston,0,1,v_cheap
172,2,0.67,2018,Detroit,0,1,v_cheap
173,2,0.67,2015,DallasFtWorth,0,1,v_cheap
174,2,0.67,2018,DallasFtWorth,0,1,v_cheap
175,1,0.67,2015,PhoenixTucson,0,1,cheap
176,2,0.67,2018,Houston,0,1,v_cheap
177,12,0.67,2016,PhoenixTucson,0,1,cheap
178,6,0.67,2016,Boise,0,1,v_cheap
179,6,0.67,2016,PhoenixTucson,0,1,cheap
180,12,0.67,2015,SanDiego,0,1,v_cheap
181,2,0.67,2017,Nashville,1,0,v_cheap
182,2,0.67,2016,PhoenixTucson,0,1,cheap
183,4,0.67,2016,Boise,0,1,v_cheap
184,2,0.67,2017,California,0,1,v_cheap
185,4,0.68,2017,Houston,0,1,v_cheap
186,5,0.68,2016,Houston,0,1,v_cheap
187,5,0.68,2016,Houston,0,1,v_cheap
188,1,0.68,2017,SouthCentral,0,1,v_cheap
189,5,0.68,2016,Atlanta,0,1,v_cheap
190,10,0.68,2016,Nashville,1,0,v_cheap
191,6,0.68,2017,PhoenixTucson,0,1,cheap
192,2,0.68,2017,SouthCentral,0,1,v_cheap
193,5,0.68,2015,DallasFtWorth,0,1,v_cheap
194,1,0.68,2018,PhoenixTucson,0,1,cheap
195,1,0.68,2016,StLouis,1,0,v_cheap
196,12,0.68,2016,Portland,1,0,v_cheap
197,2,0.68,2017,Portland,0,1,v_cheap
198,5,0.68,2016,Jacksonville,0,1,v_cheap
199,2,0.68,2017,Nashville,1,0,v_cheap
200,2,0.68,2016,WestTexNewMexico,0,1,v_cheap
201,2,0.68,2017,Nashville,0,1,v_cheap
202,3,0.68,2017,Portland,1,0,v_cheap
203,5,0.68,2016,PhoenixTucson,0,1,cheap
204,6,0.68,2015,WestTexNewMexico,0,1,v_cheap
205,1,0.68,2017,DallasFtWorth,0,1,v_cheap
206,3,0.68,2017,PhoenixTucson,0,1,cheap
207,1,0.68,2017,Houston,0,1,v_cheap
208,2,0.68,2015,DallasFtWorth,0,1,v_cheap
209,5,0.68,2016,SanDiego,0,1,v_cheap
210,2,0.68,2018,Houston,0,1,v_cheap
211,4,0.69,2016,DallasFtWorth,0,1,v_cheap
212,2,0.69,2016,SouthCarolina,0,1,v_cheap
213,1,0.69,2017,CincinnatiDayton,0,1,v_cheap
214,8,0.69,2016,PhoenixTucson,0,1,cheap
215,5,0.69,2016,Houston,0,1,v_cheap
216,4,0.69,2016,DallasFtWorth,0,1,v_cheap
217,2,0.69,2017,Columbus,0,1,v_cheap
218,6,0.69,2015,SouthCentral,0,1,v_cheap
219,5,0.69,2017,PhoenixTucson,0,1,cheap
220,6,0.69,2016,Boise,0,1,v_cheap
221,4,0.69,2016,StLouis,1,0,v_cheap
222,12,0.69,2016,DallasFtWorth,0,1,v_cheap
223,12,0.69,2016,DallasFtWorth,0,1,v_cheap
224,12,0.69,2016,DallasFtWorth,0,1,v_cheap
225,2,0.69,2016,West,0,1,v_cheap
226,2,0.69,2016,Houston,0,1,v_cheap
227,4,0.69,2016,Houston,0,1,v_cheap
228,4,0.69,2016,Portland,0,1,v_cheap
229,3,0.7,2017,Roanoke,1,0,v_cheap
230,2,0.7,2016,Denver,0,1,v_cheap
231,2,0.7,2016,SouthCentral,0,1,v_cheap
232,2,0.7,2016,WestTexNewMexico,0,1,v_cheap
233,7,0.7,2016,Boise,0,1,v_cheap
234,6,0.7,2015,WestTexNewMexico,0,1,v_cheap
235,2,0.7,2016,WestTexNewMexico,0,1,v_cheap
236,11,0.7,2016,PhoenixTucson,0,1,cheap
237,2,0.7,2016,SouthCentral,0,1,v_cheap
238,2,0.7,2017,SouthCentral,0,1,v_cheap
239,2,0.7,2017,SanDiego,0,1,v_cheap
240,4,0.7,2017,Houston,0,1,v_cheap
241,3,0.7,2015,PhoenixTucson,0,1,cheap
242,5,0.7,2016,WestTexNewMexico,0,1,v_cheap
243,3,0.7,2016,WestTexNewMexico,0,1,v_cheap
244,3,0.7,2017,Seattle,1,0,v_cheap
245,12,0.7,2016,Portland,0,1,v_cheap
246,1,0.7,2017,Houston,0,1,v_cheap
