Month,Year,Region,TypeOrganic,TypeConventional,PriceRange,AvgRainfall(Current),AvgRainfall(-6mo),AvgRainfall(-3mo),AvgRainfall(-1mo)
3,2017,CincinnatiDayton,1,0,v_cheap,1.1664,0.00375,1.6,8.018947368
2,2017,PhoenixTucson,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
3,2017,Detroit,1,0,v_cheap,1.1664,0.00375,1.6,8.018947368
2,2017,CincinnatiDayton,1,0,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
12,2015,PhoenixTucson,0,1,v_cheap,2.0152,0.13608695699999998,0.903913043,1.218333333
4,2015,PhoenixTucson,0,1,v_cheap,0.65375,0.128076923,0.783461538,0.6859999999999999
3,2017,Nashville,1,0,v_cheap,1.1664,0.00375,1.6,8.018947368
1,2017,Houston,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
2,2017,CincinnatiDayton,1,0,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
3,2016,PhoenixTucson,0,1,v_cheap,3.2804,0.016666667,1.218333333,0.7652
6,2015,PhoenixTucson,0,1,v_cheap,0.13608695699999998,1.1216,0.6859999999999999,0.991666667
2,2017,WestTexNewMexico,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
3,2017,Columbus,1,0,v_cheap,1.1664,0.00375,1.6,8.018947368
2,2017,LosAngeles,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
6,2015,PhoenixTucson,0,1,v_cheap,0.13608695699999998,1.1216,0.6859999999999999,0.991666667
2,2017,Houston,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
1,2017,Houston,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
4,2015,PhoenixTucson,0,1,v_cheap,0.65375,0.128076923,0.783461538,0.6859999999999999
12,2015,PhoenixTucson,0,1,v_cheap,2.0152,0.13608695699999998,0.903913043,1.218333333
2,2016,Jacksonville,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
2,2017,LasVegas,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
3,2016,PhoenixTucson,0,1,v_cheap,3.2804,0.016666667,1.218333333,0.7652
4,2016,PhoenixTucson,0,1,v_cheap,0.599166667,0.903913043,5.358,3.2804
6,2015,PhoenixTucson,0,1,v_cheap,0.13608695699999998,1.1216,0.6859999999999999,0.991666667
1,2017,PhoenixTucson,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
2,2017,PhoenixTucson,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
2,2016,PhoenixTucson,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
2,2017,Houston,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
5,2016,PhoenixTucson,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
12,2016,PhoenixTucson,0,1,v_cheap,4.515833333,0.002916667,0.08458333300000001,1.6
2,2018,Houston,0,1,v_cheap,0.356153846,0.0544,0.044166667,3.154230769
12,2015,PhoenixTucson,0,1,v_cheap,2.0152,0.13608695699999998,0.903913043,1.218333333
7,2015,PhoenixTucson,0,1,v_cheap,0.8845833329999999,0.783461538,0.65375,0.13608695699999998
3,2018,Houston,0,1,v_cheap,5.1216,0.118,0.4876,0.356153846
2,2015,PhoenixTucson,0,1,v_cheap,1.4056,0.047826087,0.34600000000000003,0.783461538
4,2016,PhoenixTucson,0,1,v_cheap,0.599166667,0.903913043,5.358,3.2804
5,2015,PhoenixTucson,0,1,v_cheap,0.991666667,0.34600000000000003,1.4056,0.65375
3,2016,PhoenixTucson,0,1,v_cheap,3.2804,0.016666667,1.218333333,0.7652
3,2017,Louisville,1,0,v_cheap,1.1664,0.00375,1.6,8.018947368
2,2017,Louisville,1,0,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
2,2016,Tampa,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
4,2015,PhoenixTucson,0,1,v_cheap,0.65375,0.128076923,0.783461538,0.6859999999999999
2,2017,Detroit,1,0,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
3,2015,PhoenixTucson,0,1,v_cheap,0.6859999999999999,0.13608695699999998,1.1216,1.4056
5,2016,PhoenixTucson,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
1,2017,Houston,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
3,2017,PhoenixTucson,0,1,v_cheap,1.1664,0.00375,1.6,8.018947368
2,2017,Detroit,1,0,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
2,2017,CincinnatiDayton,1,0,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
2,2016,PhoenixTucson,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
4,2016,StLouis,1,0,v_cheap,0.599166667,0.903913043,5.358,3.2804
5,2015,PhoenixTucson,0,1,v_cheap,0.991666667,0.34600000000000003,1.4056,0.65375
2,2016,LosAngeles,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
2,2017,Houston,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
5,2016,NewOrleansMobile,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
9,2015,PhoenixTucson,0,1,v_cheap,0.903913043,0.6859999999999999,0.13608695699999998,0.016666667
5,2016,Boise,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
8,2016,PhoenixTucson,0,1,v_cheap,0.00375,0.7652,0.265238095,0.004583333
2,2016,Orlando,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
3,2018,PhoenixTucson,0,1,v_cheap,5.1216,0.118,0.4876,0.356153846
5,2016,PhoenixTucson,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
2,2018,Houston,0,1,v_cheap,0.356153846,0.0544,0.044166667,3.154230769
2,2016,NewOrleansMobile,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
1,2017,PhoenixTucson,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
2,2018,PhoenixTucson,0,1,v_cheap,0.356153846,0.0544,0.044166667,3.154230769
1,2016,PhoenixTucson,0,1,v_cheap,5.358,0.13608695699999998,0.903913043,1.218333333
2,2016,MiamiFtLauderdale,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
3,2018,PhoenixTucson,0,1,v_cheap,5.1216,0.118,0.4876,0.356153846
2,2018,PhoenixTucson,0,1,v_cheap,0.356153846,0.0544,0.044166667,3.154230769
11,2015,PhoenixTucson,0,1,v_cheap,1.218333333,0.991666667,0.016666667,0.38875
6,2016,PhoenixTucson,0,1,v_cheap,0.002916667,1.218333333,3.2804,0.265238095
1,2017,LosAngeles,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
5,2015,PhoenixTucson,0,1,v_cheap,0.991666667,0.34600000000000003,1.4056,0.65375
3,2015,PhoenixTucson,0,1,v_cheap,0.6859999999999999,0.13608695699999998,1.1216,1.4056
3,2017,Nashville,0,1,v_cheap,1.1664,0.00375,1.6,8.018947368
1,2016,Denver,0,1,v_cheap,5.358,0.13608695699999998,0.903913043,1.218333333
5,2017,CincinnatiDayton,0,1,v_cheap,0.5428,1.3620833330000002,8.018947368,0.8236
2,2015,PhoenixTucson,0,1,v_cheap,1.4056,0.047826087,0.34600000000000003,0.783461538
1,2017,PhoenixTucson,0,1,v_cheap,10.29916667,0.002916667,0.08458333300000001,1.6
1,2016,Denver,0,1,v_cheap,5.358,0.13608695699999998,0.903913043,1.218333333
11,2017,PhoenixTucson,0,1,v_cheap,0.4876,0.5428,0.118,0.044166667
2,2016,PhoenixTucson,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
5,2016,Boise,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
1,2015,PhoenixTucson,0,1,v_cheap,0.783461538,0.000833333,0.128076923,1.1216
4,2016,PhoenixTucson,0,1,v_cheap,0.599166667,0.903913043,5.358,3.2804
2,2016,SanDiego,0,1,v_cheap,0.7652,0.8845833329999999,0.38875,5.358
3,2017,Nashville,1,0,v_cheap,1.1664,0.00375,1.6,8.018947368
1,2015,PhoenixTucson,0,1,v_cheap,0.783461538,0.000833333,0.128076923,1.1216
2,2017,NewOrleansMobile,0,1,v_cheap,8.018947368,0.004583333,1.3620833330000002,10.29916667
3,2018,PhoenixTucson,0,1,v_cheap,5.1216,0.118,0.4876,0.356153846
1,2016,PhoenixTucson,0,1,v_cheap,5.358,0.13608695699999998,0.903913043,1.218333333
4,2016,PhoenixTucson,0,1,v_cheap,0.599166667,0.903913043,5.358,3.2804
5,2016,LosAngeles,0,1,v_cheap,0.265238095,0.38875,0.7652,0.599166667
