Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
0,2017-12-31,1.47,113514.42,2622.7,101135.53,20.25,9735.94,5556.98,4178.96,0.0,conventional,2017,Albany
1,2017-12-24,1.45,77039.09,2811.71,58592.23,19.06,15616.09,6863.18,8752.91,0.0,conventional,2017,Albany
2,2017-12-17,1.43,70677.56,2578.95,50811.52,79.18,17207.91,8914.13,8293.78,0.0,conventional,2017,Albany
3,2017-12-10,1.29,92325.53,3220.05,75147.56,104.36,13853.56,7268.21,6585.35,0.0,conventional,2017,Albany
4,2017-12-03,1.39,139970.0,3772.0,126551.0,136.0,9511.0,7061.0,2450.0,0.0,conventional,2017,Albany
5,2017-11-26,1.5,62977.0,2413.0,49076.0,62.0,11426.0,5059.0,6368.0,0.0,conventional,2017,Albany
6,2017-11-19,1.65,97273.0,2695.0,80596.0,43.0,13940.0,7536.0,6404.0,0.0,conventional,2017,Albany
7,2017-11-12,1.26,113586.0,4509.0,96748.0,213.0,12115.0,8006.0,4109.0,0.0,conventional,2017,Albany
8,2017-11-05,1.62,71076.94,2483.36,55509.31,33.88,13050.39,9877.42,3172.97,0.0,conventional,2017,Albany
9,2017-10-29,1.67,69432.23,2959.76,57585.49,57.94,8829.04,5050.91,3778.13,0.0,conventional,2017,Albany
10,2017-10-22,1.56,69704.09,3758.8,57340.3,35.48,8569.51,5101.64,3467.87,0.0,conventional,2017,Albany
11,2017-10-15,1.65,73574.89,3383.35,63355.37,62.45,6773.72,3882.02,2891.7,0.0,conventional,2017,Albany
12,2017-10-08,1.78,55368.61,3679.82,45843.75,42.63,5802.41,2148.2,3654.21,0.0,conventional,2017,Albany
13,2017-10-01,1.69,71205.11,4411.02,57416.25,77.85,9299.99,5069.66,4230.33,0.0,conventional,2017,Albany
14,2017-09-24,1.64,68539.64,2508.62,56023.16,74.82,9933.04,5391.35,4541.69,0.0,conventional,2017,Albany
15,2017-09-17,1.41,80109.29,3986.2,66934.64,33.59,9154.86,5289.78,3851.75,13.33,conventional,2017,Albany
16,2017-09-10,1.78,99645.88,3368.35,87155.11,136.96,8985.46,4559.36,3672.77,753.33,conventional,2017,Albany
17,2017-09-03,1.76,74297.64,4738.38,59299.03,121.57,10138.66,4615.19,3646.8,1876.67,conventional,2017,Albany
18,2017-08-27,1.61,75471.56,2156.2,59831.83,71.46,13412.07,9395.94,3709.46,306.67,conventional,2017,Albany
19,2017-08-20,1.61,74620.33,1553.71,59028.13,130.14,13908.35,8599.25,4155.77,1153.33,conventional,2017,Albany
20,2017-08-13,1.52,133070.41,1947.26,118605.14,186.67,12331.34,8301.97,3132.71,896.66,conventional,2017,Albany
21,2017-08-06,1.53,92938.17,2456.91,76509.07,336.06,13636.13,5918.21,6844.59,873.33,conventional,2017,Albany
22,2017-07-30,1.61,83599.96,1915.81,73287.66,321.62,8074.87,5552.63,1932.24,590.0,conventional,2017,Albany
23,2017-07-23,1.49,84416.61,1905.52,72533.28,940.58,9037.23,3250.3,4896.93,890.0,conventional,2017,Albany
24,2017-07-16,1.39,102461.61,2468.78,86707.66,2546.08,10739.09,4950.13,4788.96,1000.0,conventional,2017,Albany
25,2017-07-09,1.52,101331.41,2899.46,81929.02,494.51,16008.42,8213.25,5210.17,2585.0,conventional,2017,Albany
