region,Total Volume,AveragePrice
AZ,195643312.49999994,1.224437869822485
CA,420073002.1214285,1.4669315300084536
CO,138902535.9900001,1.2185798816568048
CT,50670537.45999998,1.8186390532544363
FL,173273376.21600017,1.4505029585798817
GA,88605118.85000004,1.3379585798816571
ID,14413187.749999989,1.348136094674556
IL,133702338.50999993,1.5567751479289942
IN,30263391.429999966,1.313994082840236
KY,16097002.399999997,1.286686390532545
LA,45695136.579999976,1.3047928994082851
MA,97273984.82999998,1.5308875739644972
MD,134713919.31999993,1.5342307692307684
ME,392406901.83500016,1.5396597633136095
MI,227758901.5333334,1.3732149901380668
MO,32072833.329999987,1.4306213017751486
NC,41879138.03999999,1.5805769230769227
NE,311188529.11,1.4365088757396456
NM,144521839.78,1.2617014925373136
NV,54376906.399999954,1.3809171597633145
NY,91546421.87000005,1.5882445759368837
OH,37257684.495000005,1.2309911242603553
OR,110552211.60000004,1.3177218934911241
PA,44151334.22333334,1.5032445759368838
SC,60753772.90000002,1.4032840236686406
TN,35612089.23000001,1.2121005917159768
TX,482804032.595,1.1598816568047334
VA,33636431.13000002,1.2696301775147931
WA,62389726.71999999,1.444082840236686
