Month,year,region,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type_conventional,type_organic
01,2015,Albany,4.6899999999999995,171727.14,5677.87,124664.24,476.92999999999995,40908.1,38977.41,1930.69,0.0,1,0
01,2015,Albany,7.38,4790.87,119.31,786.5,0.0,3885.06,3885.06,0.0,0.0,0,1
01,2015,Atlanta,4.32,1713388.05,1460358.7200000002,80199.55,2323.27,170506.51,67975.86,102530.65000000001,0.0,1,0
01,2015,Atlanta,7.33,14931.900000000001,6830.9400000000005,3870.7000000000003,0.0,4230.26,3489.02,741.24,0.0,0,1
01,2015,BaltimoreWashington,4.68,2808932.8,205091.25,1753502.19,162587.02,687752.3400000001,667629.6300000001,20122.71,0.0,1,0
01,2015,BaltimoreWashington,5.33,74591.35,36545.05,23400.91,2335.6400000000003,12309.750000000002,12247.930000000002,61.82,0.0,0,1
01,2015,Boise,4.3,266329.54000000004,184951.46999999997,49860.09,10392.63,21125.35,12488.119999999999,8637.230000000001,0.0,1,0
01,2015,Boise,6.339999999999999,8032.2699999999995,11.36,6424.66,0.0,1596.25,633.33,962.9200000000001,0.0,0,1
01,2015,Boston,4.52,1740184.78,21856.51,1293202.71,429.14,424696.42,422806.51,1889.9099999999999,0.0,1,0
01,2015,Boston,7.779999999999999,8567.57,28.84,3490.23,0.0,5048.5,5048.5,0.0,0.0,0,1
01,2015,BuffaloRochester,5.960000000000001,443567.99,7856.67,222545.57,396.98,212768.77000000002,212026.55000000002,742.22,0.0,1,0
01,2015,BuffaloRochester,6.5600000000000005,5366.089999999999,108.31,431.34999999999997,0.0,4826.43,4826.43,0.0,0.0,0,1
01,2015,California,3.93,22303066.759999998,10895054.82,8689709.0,513202.87,2205100.0700000003,2029057.2000000002,163067.25,12975.619999999999,1,0
01,2015,California,4.88,617366.07,435293.76999999996,138519.52000000002,4.4,43548.38,43548.38,0.0,0.0,0,1
01,2015,Charlotte,4.879999999999999,645890.25,124851.62,169816.08,149624.31,201598.24,158771.42,42826.82,0.0,1,0
01,2015,Charlotte,8.86,10747.759999999998,1002.05,3553.31,3424.9900000000002,2767.41,2767.41,0.0,0.0,0,1
01,2015,Chicago,4.62,3129123.5700000003,112545.53,2131176.41,544476.86,340924.76999999996,318988.94,21767.79,168.04000000000002,1,0
01,2015,Chicago,6.92,54090.29,4482.54,46874.42,0.0,2733.33,2733.33,0.0,0.0,0,1
01,2015,CincinnatiDayton,3.66,819197.39,13837.900000000001,613367.84,4393.43,187598.22,79235.23999999999,108025.66,337.32,1,0
01,2015,CincinnatiDayton,5.29,40321.32,856.47,34798.37,0.0,4666.48,1626.22,3040.26,0.0,0,1
01,2015,Columbus,3.9600000000000004,517826.41000000003,253759.90000000002,145939.03,29662.83,88464.65,78422.53,9610.74,431.38,1,0
01,2015,Columbus,6.629999999999999,16999.42,1336.83,12269.869999999999,0.0,3392.72,1367.08,2025.6399999999999,0.0,0,1
01,2015,DallasFtWorth,3.0600000000000005,4315029.77,2569802.84,1368338.8499999999,46879.5,330008.58,244955.15000000002,85008.7,44.73,1,0
01,2015,DallasFtWorth,5.32,45905.009999999995,26571.99,5263.01,0.0,14070.01,14070.01,0.0,0.0,0,1
01,2015,Denver,4.09,2838518.5700000003,521319.27,1780359.93,20081.39,516757.98,305959.26,210742.12999999998,56.589999999999996,1,0
01,2015,Denver,5.13,117900.25,21801.5,62938.69,659.1499999999999,32500.910000000003,4971.83,27529.08,0.0,0,1
01,2015,Detroit,4.38,1270973.04,453743.17000000004,300974.41,234677.22999999998,281578.23,256949.89,4027.37,20600.97,1,0
01,2015,Detroit,7.090000000000001,30733.64,1735.96,24304.059999999998,0.0,4693.62,1582.6,3111.02,0.0,0,1
01,2015,GrandRapids,4.24,738618.16,4152.18,473858.93999999994,49197.36,211409.68,197528.06,12275.21,1606.4099999999999,1,0
01,2015,GrandRapids,7.359999999999999,3192.1400000000003,132.52,2373.7000000000003,0.0,685.92,676.67,9.25,0.0,0,1
01,2015,GreatLakes,4.33,12385337.780000001,1676132.8699999999,7177685.76,1163707.56,2367811.59,1929525.1999999997,405222.99,33063.4,1,0
01,2015,GreatLakes,6.59,237230.17,15547.27,176495.97,0.0,45186.93,29679.81,15507.119999999999,0.0,0,1
01,2015,HarrisburgScranton,4.72,771353.2100000001,131336.86,374285.25,2830.71,262900.39,255325.46000000002,7574.93,0.0,1,0
01,2015,HarrisburgScranton,7.07,10307.01,400.12,794.29,8.74,9103.86,9103.86,0.0,0.0,0,1
01,2015,HartfordSpringfield,5.18,1035238.45,18406.14,721324.02,907.01,294601.28,280795.11,13806.17,0.0,1,0
01,2015,HartfordSpringfield,9.16,12736.990000000002,279.97,11391.49,21.43,1044.1,1044.1,0.0,0.0,0,1
01,2015,Houston,3.0300000000000002,4126827.37,1977646.61,1617795.81,22058.6,509326.35,420162.28,89164.07,0.0,1,0
01,2015,Houston,4.92,37877.869999999995,31389.350000000002,3075.1800000000003,0.0,3413.34,3413.34,0.0,0.0,0,1
01,2015,Indianapolis,4.470000000000001,597540.8,13585.619999999999,430989.06,5746.49,147219.63,83161.31,63792.13,266.19,1,0
01,2015,Indianapolis,7.2,5495.95,267.38,3487.52,0.0,1741.0500000000002,1292.3400000000001,448.71,0.0,0,1
01,2015,Jacksonville,4.64,462700.72,287304.32,67121.09999999999,2035.6899999999998,106239.61000000002,59953.51,46286.1,0.0,1,0
01,2015,Jacksonville,7.42,5173.620000000001,3481.85,149.92000000000002,15.19,1526.6599999999999,1526.6599999999999,0.0,0.0,0,1
01,2015,LasVegas,3.8500000000000005,1075038.91,474871.75,416149.42,22945.78,161071.96,159732.28,1339.6799999999998,0.0,1,0
01,2015,LasVegas,6.33,24265.370000000003,13629.400000000001,9045.54,0.0,1590.4299999999998,1546.66,43.769999999999996,0.0,0,1
01,2015,LosAngeles,3.5500000000000003,10526526.34,7067745.970000001,2124333.21,243405.35,1091041.81,954681.0900000001,125162.83,11197.890000000001,1,0
01,2015,LosAngeles,4.85,196455.36000000002,161585.33000000002,6511.549999999999,0.0,28358.480000000003,28358.480000000003,0.0,0.0,0,1
01,2015,Louisville,4.05,348507.83999999997,8824.470000000001,255269.25,1182.78,83231.34,34838.549999999996,48321.28,71.51,1,0
01,2015,Louisville,6.74,5139.549999999999,21.17,3460.52,0.0,1657.8600000000001,1288.75,369.11,0.0,0,1
01,2015,MiamiFtLauderdale,4.82,1686225.11,1216745.38,174806.91999999998,186.20999999999998,294486.6,150166.63999999998,144319.96000000002,0.0,1,0
01,2015,MiamiFtLauderdale,7.380000000000001,7011.210000000001,4676.05,148.49,0.0,2186.67,2186.67,0.0,0.0,0,1
01,2015,Midsouth,4.609999999999999,9725911.149999999,2232134.41,4467164.69,723474.84,2303137.21,1946419.92,356310.23000000004,407.06,1,0
01,2015,Midsouth,6.359999999999999,231040.36000000002,47196.22,107010.26,13485.91,63347.969999999994,56396.55,6951.42,0.0,0,1
