"State or other
jurisdiction",2015,2016,2017,2018
Federal (FLSA),7.25,7.25,7.25,7.25
Alabama,...,...,...,...
Alaska,8.75,9.75,9.8,9.84
Arizona,8.05,8.05,10,10.5
Arkansas,7.50[c],8.00[c],8.50[c],8.50[c]
California,9,10,10,11
Colorado,8.23,8.31,9.3,10.2
Connecticut,9.15,9.6,10.1,10.1
Delaware,8.25,8.25,8.25,8.25
Florida,8.05,8.05,8.1,8.25
Georgia,5.15(d),5.15(d),5.15(d),5.15(d)
Hawaii,7.75,8.5,9.25,10.1
Idaho,7.25,7.25,7.25,7.25
Illinois,8.25[c],8.25[c],8.25[c],8.25[c]
Indiana,7.25(e),7.25(e),7.25(e),7.25(e)
Iowa,7.25,7.25,7.25,7.25
Kansas,7.25,7.25,7.25,7.25
Kentucky,7.25,7.25,7.25,7.25
Louisiana,...,...,...,...
Maine,7.5,7.5,9,10
Maryland,8.25,8.75,8.75,10.1
Massachusetts,9,10,11,11
Michigan,8.15(e),8.50(e),8.90(e),9.25(e)
Minnesota,7.25-9.00(g),7.25-9.50(g),7.75-9.50(g),8.04-9.86(g)
Mississippi,...,...,...,...
Missouri,7.65,7.65,7.7,7.85
Montana,8.05(g),8.05(g),8.15(g),8.30(g)
Nebraska,8.00[c],9.00[c],9.00[c],9.00[c]
Nevada,7.25-8.25,7.25-8.25,7.25-8.25,7.25-8.25
New Hampshire,7.25,7.25,7.25,7.25
New Jersey,8.38,8.38,8.44,8.6
New Mexico,7.5,7.5,7.5,7.5
New York,8.75,9,9.7,10.4
North Carolina,7.25,7.25,7.25,7.25
North Dakota,7.25,7.25,7.25,7.25
Ohio,7.25-8.10,7.25-8.10,8.15,8.3
Oklahoma,2.00-7.25(g),2.00-7.25(g),2.00-7.25(g),2.00-7.25(g)
Oregon,9.25,9.75,9.75,10.75
Pennsylvania,7.25,7.25,7.25,7.25
Rhode Island,9,9.6,9.6,10.1
South Carolina,...,...,...,...
South Dakota,8.5,8.55,8.65,8.85
Tennessee,...,...,...,...
Texas,7.25,7.25,7.25,7.25
Utah,7.25,7.25,7.25,7.25
Vermont,9.15(e),9.60(e),10.00(e),10.50(e)
Virginia,7.25[c],7.25[c],7.25[c],7.25[c]
Washington,9.47,9.47,11,11.5
West Virginia,8,8.75,8.75,8.75
Wisconsin,7.25,7.25,7.25,7.25
Wyoming,5.15,5.15,5.15,5.15
District of Columbia,10.5,11.5,11.5,13.25
Guam,8.25,8.25,8.25,8.25
Puerto Rico,5.08-7.25(i),5.08-7.25(i),5.08-7.25(i),5.08-7.25(i)
U.S. Virgin Islands,4.30-7.25(j),4.30-7.25(j),4.30-7.25(j),4.30-7.25(j)
